|   0 |  17 |   9 |   1 |   9 |  22 |  18 |  11 |   7 |  14 |  11 |  10 |   6 |  16 |  32 |  11 |  24 |   6 |  17 |   7 |  13 |  20 |  32 |  19 |  14 |   9 |  21 |  32 |  16 |  19 |   4 |  12 |   0 |  17 |   3 |  14 |   2 |  10 |  33 |  12 |   6 |  26 |  25 |   4 |  29 |  10 |  11 |  11 |  16 |  39 
|  11 |   0 |   7 |  12 |  18 |  16 |  12 |   9 |  12 |   4 |  22 |   5 |   8 |   0 |  21 |   7 |  19 |  17 |  15 |  18 |  24 |  29 |  26 |  17 |   9 |   4 |  23 |  35 |  26 |  17 |  15 |  10 |  10 |  19 |  14 |  15 |  13 |  21 |  31 |  23 |  17 |  24 |  29 |  15 |  18 |  12 |  13 |   6 |  16 |  37 
|  11 |  17 |   0 |  12 |  20 |  13 |  19 |   2 |   7 |   5 |  22 |  21 |  15 |   7 |  30 |  19 |  33 |  12 |   8 |  18 |  24 |  22 |  23 |  10 |  22 |  20 |  22 |  31 |  27 |  10 |  15 |   3 |  11 |  12 |  14 |   8 |  13 |  21 |  24 |  23 |  17 |  21 |  31 |  15 |  27 |  19 |  20 |  22 |   9 |  30 
|   4 |  25 |   8 |   0 |   8 |  21 |  21 |  10 |   6 |  13 |  10 |  21 |   5 |  15 |  35 |  10 |  27 |  10 |  16 |  11 |  12 |  24 |  31 |  18 |  17 |  13 |  20 |  32 |  15 |  20 |  15 |  11 |   3 |  18 |   2 |  13 |   1 |  14 |  32 |  11 |  10 |  27 |  26 |   8 |  32 |   9 |  10 |  14 |  15 |  38 
|  19 |  20 |  26 |  20 |   0 |  25 |  21 |  21 |  26 |  20 |  30 |  13 |  12 |  20 |  41 |  15 |  27 |  14 |  34 |  13 |  32 |  31 |  35 |  36 |  17 |  24 |  27 |  39 |  11 |  29 |  23 |  22 |  18 |  14 |  22 |  33 |  21 |  29 |  43 |  31 |  25 |  23 |  33 |  23 |  38 |  16 |  17 |  14 |  11 |  51 
|  18 |  35 |  20 |  19 |  20 |   0 |  33 |  22 |  12 |  25 |  22 |  28 |  17 |  21 |  17 |  22 |  39 |  10 |  28 |  11 |  24 |  37 |  10 |  30 |  29 |  27 |  32 |  33 |  27 |  30 |  18 |  23 |  18 |  21 |  14 |  25 |  13 |  14 |  42 |  23 |  10 |  20 |  29 |   8 |  14 |  21 |  22 |  26 |  27 |  45 
|  19 |  26 |  24 |  20 |   6 |   4 |   0 |  26 |  16 |  23 |  26 |  19 |  18 |  25 |  21 |  18 |  30 |  14 |  32 |  15 |  15 |  31 |  14 |  34 |  20 |  28 |  33 |  37 |  17 |  34 |  22 |  27 |  19 |  20 |  18 |  16 |  17 |  18 |  46 |  14 |  14 |  24 |  33 |  12 |  18 |  22 |  23 |  17 |  17 |  48 
|  12 |  29 |  12 |  13 |  23 |  17 |  17 |   0 |  17 |   9 |  23 |  22 |  13 |   5 |  34 |  18 |  36 |  18 |  20 |  19 |  30 |  32 |  27 |  22 |  26 |  21 |  28 |  40 |  34 |  22 |  16 |  15 |  12 |  24 |  15 |  20 |  14 |  22 |  36 |  31 |  18 |  33 |  34 |  16 |  31 |  17 |  18 |  23 |  21 |  42 
|  30 |  25 |  32 |  31 |  33 |  36 |  34 |  31 |   0 |  29 |  40 |  30 |  33 |  25 |  45 |  32 |  41 |  20 |  16 |  37 |  40 |  30 |  46 |  18 |  30 |  29 |  30 |  39 |  44 |  36 |  25 |  35 |  29 |  20 |  25 |  16 |  31 |  32 |  32 |  41 |  35 |  29 |  39 |  34 |  42 |  37 |  38 |  31 |  17 |  38 
|   6 |  23 |  15 |   7 |  18 |   8 |  24 |  17 |  13 |   0 |  17 |  16 |  12 |  22 |  25 |  14 |  30 |  12 |  23 |  13 |  19 |  26 |  18 |  25 |  20 |  15 |  27 |  38 |  22 |  25 |  10 |  18 |   6 |  23 |   9 |  20 |   8 |  16 |  39 |  18 |  12 |  28 |  31 |  10 |  22 |  16 |  17 |  17 |  22 |  45 
|   6 |  23 |  15 |   7 |  15 |  15 |  11 |  15 |  13 |  10 |   0 |  16 |  11 |  20 |  29 |   5 |  17 |   5 |  23 |  13 |   2 |  18 |  25 |  25 |   7 |  15 |  21 |  29 |   5 |  24 |  10 |  18 |   6 |   8 |   9 |   3 |   8 |  16 |  37 |   1 |   7 |  17 |  24 |  10 |  29 |  10 |  11 |   4 |   5 |  35 
|   6 |   7 |  13 |   7 |  14 |  12 |   8 |  13 |  13 |   7 |  17 |   0 |  12 |   7 |  28 |   2 |  14 |  12 |  21 |  14 |  23 |  26 |  22 |  23 |   4 |  11 |  18 |  30 |  21 |  16 |  10 |   9 |   5 |  18 |   9 |  21 |   8 |  16 |  34 |  22 |  12 |  27 |  24 |  10 |  25 |   7 |   8 |   1 |  16 |  42 
|  21 |  32 |  16 |  22 |  29 |  29 |  30 |  16 |  23 |  21 |  31 |  25 |   0 |  18 |  30 |   5 |  39 |  15 |  24 |  28 |  24 |  38 |  39 |  26 |  29 |  24 |  15 |  27 |  24 |  26 |  12 |  19 |  20 |  21 |  23 |  24 |  22 |  31 |  31 |  32 |  27 |  30 |  21 |  25 |  27 |   4 |   5 |  26 |  24 |  39 
|  10 |  24 |   7 |  11 |  18 |  12 |  12 |   9 |  12 |   4 |  21 |  20 |   8 |   0 |  29 |  13 |  34 |  16 |  15 |  17 |  23 |  29 |  22 |  17 |  24 |  19 |  23 |  35 |  29 |  17 |  14 |  10 |  10 |  19 |  13 |  15 |  12 |  20 |  31 |  22 |  16 |  28 |  29 |  14 |  26 |  12 |  13 |  21 |  16 |  37 
|   5 |  29 |  14 |   6 |  15 |  27 |  30 |  16 |  12 |  19 |  33 |  22 |  27 |  19 |   0 |  24 |  31 |  11 |  22 |  28 |  35 |  20 |  37 |  17 |  26 |  21 |  29 |  32 |  26 |  24 |   9 |  17 |   4 |  26 |  20 |  22 |   7 |  15 |  31 |  34 |  11 |  35 |  18 |   9 |  33 |  24 |  25 |  23 |  23 |  44 
|  22 |  28 |  11 |  23 |  31 |  24 |  28 |  11 |  18 |  16 |  33 |  32 |  25 |  16 |  31 |   0 |  44 |  16 |  19 |  29 |  35 |  33 |  34 |  21 |  26 |  31 |  16 |  42 |  19 |  21 |  26 |  14 |  22 |  16 |  25 |  19 |  24 |  32 |  35 |  34 |  28 |  25 |  35 |  26 |  28 |  29 |  30 |  33 |  19 |  41 
|  13 |  30 |  13 |  14 |  14 |  12 |   8 |  13 |  20 |   7 |  24 |  23 |  19 |  18 |  29 |   2 |   0 |   7 |  21 |  14 |  23 |  33 |  22 |  23 |   4 |  22 |  18 |  30 |  21 |  23 |   5 |  16 |  13 |  18 |  16 |  21 |  15 |  22 |  34 |  22 |  19 |  27 |  24 |  17 |  26 |   7 |   8 |   1 |  21 |  42 
|  29 |  30 |  27 |  30 |  37 |  32 |  31 |  29 |  32 |  24 |  40 |  23 |  28 |  20 |  28 |  25 |  37 |   0 |  35 |  36 |  41 |  47 |  42 |  35 |  27 |  22 |  41 |  39 |  44 |  34 |  33 |  30 |  28 |  18 |  32 |  35 |  31 |  39 |  41 |  41 |  35 |  27 |  19 |  33 |  46 |  30 |  31 |  24 |  36 |  57 
|  14 |   9 |  16 |  15 |  18 |  20 |  18 |  15 |  20 |  13 |  24 |  14 |  17 |   9 |  30 |  16 |  25 |   4 |   0 |  24 |  24 |  14 |  30 |   2 |  14 |  13 |  14 |  23 |  29 |  20 |  18 |  19 |  13 |   4 |   9 |   0 |  15 |  24 |  16 |  25 |  19 |  13 |  23 |  18 |  27 |  21 |  22 |  15 |   1 |  22 
